trip_id,staff_id,project_id,country_code,departure_date,return_date,cost_usd,purpose
49,7,21,BTN,2016-10-19,2016-10-25,2230.25,field visit
50,52,9,SYC,2016-10-25,2016-11-02,2418.24,monitoring visit
51,6,8,MEX,2016-10-26,2016-11-02,2516.94,monitoring visit
52,24,13,BOL,2016-11-14,2016-11-24,3099.26,monitoring visit
53,52,23,GNB,2016-11-14,2016-11-21,2397.85,partner meeting
54,52,10,GNQ,2016-12-05,2016-12-08,1530.64,workshop
55,1,,BHR,2016-12-09,2016-12-12,2878.92,conference
56,2,18,COG,2016-12-10,2016-12-19,3366.04,monitoring visit
57,7,21,BTN,2016-12-12,2016-12-20,3073.71,data collection
58,6,14,COG,2016-12-13,2016-12-23,3680.31,field visit
59,33,26,LTU,2016-12-15,2016-12-23,2742.20,field visit
60,6,16,ZMB,2016-12-22,2016-12-27,1858.63,workshop
61,52,11,SDN,2017-01-01,2017-01-11,2813.06,monitoring visit
62,6,25,ARE,2017-01-02,2017-01-13,3586.41,monitoring visit
63,33,27,WSM,2017-01-02,2017-01-10,3183.06,data collection
64,3,13,BOL,2017-01-06,2017-01-09,1681.06,monitoring visit
65,2,28,GHA,2017-02-01,2017-02-12,3751.02,workshop
66,6,3,COG,2017-02-02,2017-02-08,2320.55,field visit
67,52,25,ARE,2017-02-12,2017-02-26,4649.84,monitoring visit
68,33,27,WSM,2017-02-17,2017-02-27,3055.36,monitoring visit
69,52,2,PER,2017-02-24,2017-02-27,2080.40,field visit
70,6,16,ZMB,2017-02-26,2017-03-06,2673.54,field visit
71,52,9,SYC,2017-03-15,2017-03-20,2516.49,data collection
72,52,,ERI,2017-03-19,2017-03-25,3103.05,conference
73,6,2,PER,2017-03-24,2017-03-27,1858.58,partner meeting
74,52,28,GHA,2017-03-27,2017-03-31,1742.04,partner meeting
75,2,28,GHA,2017-03-28,2017-04-08,3380.44,data collection
76,45,,GBR,2017-03-29,2017-04-03,2896.06,conference
77,52,17,SWZ,2017-04-01,2017-04-05,2042.52,data collection
78,13,28,GHA,2017-04-16,2017-04-23,2214.96,partner meeting
79,52,30,MHL,2017-04-24,2017-04-30,2481.45,workshop
80,8,,JPN,2017-05-05,2017-05-07,2194.50,conference
81,29,29,PAN,2017-05-22,2017-05-28,2319.36,workshop
82,40,25,ARE,2017-05-25,2017-05-30,2262.82,partner meeting
83,6,9,SYC,2017-05-30,2017-06-04,2790.23,workshop
84,2,3,COG,2017-06-04,2017-06-10,2036.39,data collection
85,6,20,GNB,2017-06-19,2017-06-24,2855.99,data collection
86,52,14,COG,2017-06-30,2017-07-10,3496.66,field visit
87,6,2,PER,2017-07-03,2017-07-07,2278.80,monitoring visit
88,33,,ARM,2017-07-16,2017-07-19,2983.88,conference
89,52,6,CIV,2017-07-24,2017-08-03,2880.86,data collection
90,52,14,COG,2017-08-04,2017-08-17,3622.62,workshop
91,2,18,COG,2017-08-05,2017-08-17,4148.44,data collection
92,13,18,COG,2017-08-21,2017-08-26,2477.81,field visit
93,4,,MDV,2017-09-12,2017-09-15,3116.30,conference
94,6,24,HTI,2017-09-12,2017-09-15,1971.50,field visit
95,52,12,TGO,2017-09-12,2017-09-21,2929.91,data collection
96,24,19,LSO,2017-10-03,2017-10-13,3204.00,field visit
97,13,18,COG,2017-10-07,2017-10-18,2975.62,field visit
98,26,31,FSM,2017-10-09,2017-10-12,1760.62,monitoring visit
99,3,29,PAN,2017-10-23,2017-10-30,3147.31,field visit
100,33,22,YEM,2017-10-23,2017-10-30,2734.62,workshop
101,6,32,PER,2017-10-30,2017-11-10,3469.52,partner meeting
102,6,10,GNQ,2017-10-31,2017-11-05,2173.54,workshop
103,2,28,GHA,2017-11-02,2017-11-15,4487.65,partner meeting
104,29,19,LSO,2017-11-16,2017-11-19,1532.64,field visit
105,6,23,GNB,2017-12-10,2017-12-22,4192.43,field visit
106,4,30,MHL,2017-12-18,2017-12-22,1804.00,field visit
107,6,26,LTU,2017-12-24,2018-01-05,3944.27,workshop
108,7,23,GNB,2017-12-31,2018-01-10,2947.62,workshop
109,6,2,PER,2018-01-16,2018-01-24,3300.77,workshop
110,33,22,YEM,2018-01-18,2018-01-27,2689.97,monitoring visit
111,26,,ARM,2018-02-18,2018-02-22,3499.59,conference
112,7,23,GNB,2018-02-24,2018-03-08,4180.27,field visit
113,4,30,MHL,2018-03-18,2018-03-27,2908.88,workshop
114,24,31,FSM,2018-03-22,2018-03-25,2440.41,data collection
115,6,10,GNQ,2018-04-04,2018-04-10,2095.47,field visit
116,26,31,FSM,2018-04-07,2018-04-18,2941.94,field visit
117,6,33,RWA,2018-04-09,2018-04-22,3738.19,data collection
118,4,26,LTU,2018-04-12,2018-04-18,2444.62,partner meeting
119,6,32,PER,2018-04-15,2018-04-21,2090.27,data collection
120,13,28,GHA,2018-04-15,2018-04-24,2767.66,workshop
121,40,26,LTU,2018-04-27,2018-05-06,2981.44,workshop
122,26,31,FSM,2018-06-06,2018-06-16,3686.09,field visit
123,33,25,ARE,2018-06-09,2018-06-18,2905.28,data collection
124,52,24,HTI,2018-06-28,2018-07-12,4582.59,field visit
125,6,32,PER,2018-07-13,2018-07-17,2120.15,monitoring visit
126,52,26,LTU,2018-07-14,2018-07-18,2435.51,data collection
127,6,6,CIV,2018-07-16,2018-07-21,2121.17,partner meeting
128,49,16,ZMB,2018-07-24,2018-08-05,4273.30,data collection
129,24,31,FSM,2018-08-02,2018-08-16,3886.11,data collection
130,52,19,LSO,2018-08-15,2018-08-18,1557.03,data collection
131,33,22,YEM,2018-08-21,2018-09-04,4379.00,partner meeting
132,4,34,HND,2018-08-24,2018-08-29,2591.59,field visit
133,49,32,PER,2018-08-31,2018-09-12,4198.42,monitoring visit
134,33,36,UGA,2018-09-08,2018-09-14,2638.32,partner meeting
135,6,20,GNB,2018-09-12,2018-09-19,2325.84,partner meeting
136,52,16,ZMB,2018-09-20,2018-10-02,3238.65,data collection
137,51,32,PER,2018-09-22,2018-10-01,3571.09,monitoring visit
138,52,35,PLW,2018-09-26,2018-10-10,4487.56,partner meeting
139,51,31,FSM,2018-09-27,2018-10-04,3356.84,partner meeting
140,52,32,PER,2018-10-04,2018-10-18,4236.88,field visit
141,51,32,PER,2018-10-20,2018-10-27,3366.22,field visit
142,52,35,PLW,2018-11-03,2018-11-07,2269.54,monitoring visit
143,6,32,PER,2018-11-12,2018-11-16,2256.76,field visit
144,6,31,FSM,2018-11-24,2018-11-30,2173.59,partner meeting
145,6,20,GNB,2018-11-29,2018-12-13,4315.78,field visit
146,6,,GRD,2018-11-30,2018-12-03,2057.95,conference
147,4,30,MHL,2018-12-04,2018-12-14,3091.93,partner meeting
148,24,40,LCA,2018-12-13,2018-12-24,3445.79,field visit
149,52,41,SOM,2018-12-25,2019-01-07,3625.77,monitoring visit
150,51,37,SLV,2018-12-27,2019-01-10,4189.19,data collection
151,6,27,WSM,2018-12-28,2019-01-08,3952.31,monitoring visit
152,51,35,PLW,2019-01-07,2019-01-14,2664.26,partner meeting
153,51,34,HND,2019-01-08,2019-01-18,3693.10,data collection
154,49,35,PLW,2019-01-12,2019-01-24,3605.58,field visit
155,48,35,PLW,2019-02-04,2019-02-14,2962.77,partner meeting
156,49,27,WSM,2019-02-08,2019-02-16,3150.42,data collection
157,48,34,HND,2019-02-20,2019-03-06,3694.04,field visit
158,51,27,WSM,2019-03-07,2019-03-19,3948.28,field visit
159,49,35,PLW,2019-03-16,2019-03-27,3891.08,partner meeting
160,49,19,LSO,2019-03-20,2019-03-28,2943.31,partner meeting
161,52,35,PLW,2019-03-30,2019-04-05,2427.86,monitoring visit
162,26,,ATG,2019-04-01,2019-04-07,3049.87,conference
163,4,25,ARE,2019-04-15,2019-04-29,3921.85,data collection
164,49,41,SOM,2019-04-16,2019-04-23,2356.41,data collection
165,52,24,HTI,2019-04-20,2019-04-30,3455.85,field visit
166,33,33,RWA,2019-04-28,2019-05-10,3891.46,field visit
167,26,19,LSO,2019-05-02,2019-05-07,2585.23,workshop
168,52,19,LSO,2019-05-07,2019-05-12,1920.68,monitoring visit
169,26,,NPL,2019-05-16,2019-05-21,3663.75,conference
170,6,20,GNB,2019-05-21,2019-05-26,2199.35,monitoring visit
171,52,37,SLV,2019-05-28,2019-06-05,2831.78,monitoring visit
172,4,,JAM,2019-06-03,2019-06-06,2882.16,conference
173,27,40,LCA,2019-06-03,2019-06-11,2619.21,workshop
174,6,37,SLV,2019-06-11,2019-06-21,3478.61,field visit
175,3,44,FSM,2019-06-15,2019-06-28,3839.19,data collection
176,6,29,PAN,2019-06-22,2019-07-06,4530.30,monitoring visit
177,52,37,SLV,2019-06-22,2019-06-29,2620.42,partner meeting
178,3,39,ZMB,2019-06-23,2019-06-26,1479.23,data collection
179,27,40,LCA,2019-07-02,2019-07-09,3028.93,field visit
180,48,45,KEN,2019-07-02,2019-07-12,3533.62,field visit
181,6,29,PAN,2019-07-03,2019-07-13,2929.52,data collection
182,3,,TLS,2019-07-21,2019-07-25,2228.49,conference
183,52,47,NER,2019-08-02,2019-08-07,2415.19,monitoring visit
184,52,37,SLV,2019-08-02,2019-08-07,2805.34,data collection
185,33,,TCA,2019-08-04,2019-08-09,2408.51,conference
186,2,38,ZMB,2019-08-11,2019-08-18,2760.38,data collection
187,48,47,NER,2019-08-16,2019-08-30,4254.81,workshop
188,48,47,NER,2019-08-17,2019-08-26,3658.81,monitoring visit
189,3,40,LCA,2019-08-24,2019-09-02,3046.88,monitoring visit
190,29,40,LCA,2019-08-31,2019-09-14,3707.11,data collection
191,48,21,BTN,2019-09-27,2019-10-01,2104.09,workshop
192,6,22,YEM,2019-10-20,2019-10-27,2436.24,workshop
193,33,34,HND,2019-11-05,2019-11-15,3226.14,field visit
194,59,,UKR,2019-11-12,2019-11-14,2593.73,conference
195,27,40,LCA,2019-11-16,2019-11-21,2173.84,monitoring visit
196,51,47,NER,2019-12-04,2019-12-14,3583.12,monitoring visit
197,7,21,BTN,2019-12-07,2019-12-13,2926.31,data collection
198,29,,SVK,2019-12-10,2019-12-14,3040.56,conference
199,49,29,PAN,2019-12-10,2019-12-16,2578.98,field visit
200,52,39,ZMB,2019-12-10,2019-12-17,2276.56,monitoring visit
201,49,47,NER,2019-12-17,2019-12-31,4233.73,data collection
202,2,46,MLI,2019-12-31,2020-01-14,4634.84,workshop
203,3,39,ZMB,2020-01-04,2020-01-15,3392.90,field visit
204,51,36,UGA,2020-01-28,2020-02-01,2197.64,monitoring visit
205,48,41,SOM,2020-02-03,2020-02-09,2036.79,monitoring visit
206,53,43,PHL,2020-02-18,2020-03-02,3929.95,workshop
207,49,20,GNB,2020-02-25,2020-03-07,3852.37,field visit
208,53,39,ZMB,2020-03-03,2020-03-12,3183.01,partner meeting
209,49,41,SOM,2020-03-04,2020-03-10,2157.84,partner meeting
210,13,38,ZMB,2020-04-06,2020-04-10,2692.59,workshop
211,33,33,RWA,2020-04-13,2020-04-27,3979.68,partner meeting
212,51,47,NER,2020-05-26,2020-06-07,3814.64,workshop
213,7,21,BTN,2020-05-31,2020-06-06,2924.16,partner meeting
214,24,39,ZMB,2020-06-06,2020-06-14,2842.92,monitoring visit
215,51,43,PHL,2020-06-12,2020-06-19,2630.39,data collection
216,48,47,NER,2020-06-16,2020-06-22,2028.71,workshop
217,48,,KEN,2020-06-17,2020-06-21,3309.41,conference
218,10,,VNM,2020-06-21,2020-06-24,2927.00,conference
219,52,44,FSM,2020-07-05,2020-07-14,3448.61,workshop
220,18,46,MLI,2020-07-13,2020-07-16,1458.24,data collection
221,13,46,MLI,2020-08-10,2020-08-13,1790.62,partner meeting
222,52,41,SOM,2020-09-10,2020-09-21,3312.56,workshop
223,51,49,DJI,2020-09-12,2020-09-15,2423.93,monitoring visit
224,3,44,FSM,2020-10-07,2020-10-19,3521.11,monitoring visit
225,40,36,UGA,2020-10-15,2020-10-21,2694.16,data collection
226,14,48,CAF,2020-11-22,2020-12-03,3550.73,partner meeting
227,3,44,FSM,2020-12-14,2020-12-22,2975.95,data collection
228,6,47,NER,2020-12-23,2021-01-04,3337.32,field visit
229,32,52,NPL,2021-01-16,2021-01-24,3362.89,monitoring visit
230,17,51,MOZ,2021-01-24,2021-01-29,1971.14,monitoring visit
231,49,52,NPL,2021-02-22,2021-03-06,4001.80,data collection
232,53,49,DJI,2021-03-07,2021-03-11,2605.10,workshop
233,6,36,UGA,2021-03-21,2021-03-26,2256.31,field visit
234,32,52,NPL,2021-04-07,2021-04-13,2691.81,monitoring visit
235,4,54,ETH,2021-04-11,2021-04-15,1809.62,data collection
236,51,49,DJI,2021-04-21,2021-05-05,4217.03,monitoring visit
237,49,43,PHL,2021-05-18,2021-05-31,4300.31,data collection
238,32,52,NPL,2021-05-27,2021-06-07,3612.96,field visit
239,33,42,GHA,2021-06-02,2021-06-10,3004.82,workshop
240,52,50,ETH,2021-06-27,2021-07-11,3702.79,data collection
241,49,52,NPL,2021-06-30,2021-07-13,3775.97,partner meeting
242,4,,DNK,2021-07-26,2021-07-31,3740.81,conference
243,13,46,MLI,2021-07-27,2021-07-30,1666.27,data collection
244,48,55,AZE,2021-08-06,2021-08-15,2762.25,partner meeting
245,51,55,AZE,2021-09-01,2021-09-15,3746.13,monitoring visit
246,51,,PYF,2021-09-13,2021-09-19,3474.18,conference
247,4,,NOR,2021-09-15,2021-09-21,3188.90,conference
248,18,51,MOZ,2021-09-15,2021-09-22,3273.03,data collection
249,53,54,ETH,2021-09-15,2021-09-24,3413.44,monitoring visit
250,49,42,GHA,2021-09-17,2021-10-01,3862.50,monitoring visit
251,51,55,AZE,2021-09-20,2021-10-01,3359.41,workshop
252,2,51,MOZ,2021-09-23,2021-10-02,3031.92,data collection
253,55,43,PHL,2021-09-28,2021-10-12,3972.51,workshop
254,52,51,MOZ,2021-10-04,2021-10-16,3972.35,partner meeting
255,51,49,DJI,2021-10-12,2021-10-24,3953.09,monitoring visit
256,53,55,AZE,2021-11-18,2021-11-25,2935.27,monitoring visit
257,55,45,KEN,2021-11-20,2021-11-29,3312.28,monitoring visit
258,60,59,TUV,2021-12-05,2021-12-11,2064.38,field visit
259,52,51,MOZ,2021-12-06,2021-12-13,3255.63,data collection
260,6,54,ETH,2021-12-12,2021-12-19,3282.89,partner meeting
261,18,48,CAF,2021-12-17,2021-12-22,2739.68,data collection
262,55,59,TUV,2022-01-14,2022-01-24,2824.24,data collection
263,6,49,DJI,2022-01-19,2022-02-02,4616.71,data collection
264,48,51,MOZ,2022-02-10,2022-02-18,2978.28,field visit
265,4,54,ETH,2022-03-03,2022-03-08,2469.99,partner meeting
266,49,51,MOZ,2022-03-09,2022-03-12,2169.94,workshop
267,13,57,GIN,2022-03-19,2022-04-02,4326.75,partner meeting
268,60,59,TUV,2022-04-06,2022-04-20,4275.77,data collection
269,40,53,SWZ,2022-04-13,2022-04-21,2394.95,data collection
270,55,50,ETH,2022-04-14,2022-04-22,3381.92,field visit
271,33,54,ETH,2022-04-18,2022-04-29,3114.43,data collection
272,17,,VCT,2022-04-28,2022-05-04,2801.83,conference
273,27,60,NAM,2022-05-04,2022-05-08,1884.57,field visit
274,34,,USA,2022-05-18,2022-05-24,3301.70,conference
275,54,44,FSM,2022-05-22,2022-05-25,1644.49,workshop
276,48,53,SWZ,2022-06-14,2022-06-18,1664.91,data collection
277,53,59,TUV,2022-06-21,2022-06-30,2951.99,data collection
278,15,48,CAF,2022-07-04,2022-07-11,2806.62,data collection
279,32,52,NPL,2022-07-14,2022-07-27,4100.45,monitoring visit
280,48,52,NPL,2022-07-14,2022-07-28,3727.06,field visit
281,18,,SXM,2022-07-19,2022-07-24,3330.00,conference
282,18,48,CAF,2022-07-21,2022-07-28,2947.31,monitoring visit
283,29,60,NAM,2022-08-07,2022-08-20,4475.25,data collection
284,53,59,TUV,2022-08-14,2022-08-17,2029.36,monitoring visit
285,51,45,KEN,2022-08-24,2022-09-02,3113.39,partner meeting
286,32,53,SWZ,2022-09-03,2022-09-07,1874.11,field visit
287,6,54,ETH,2022-09-27,2022-10-10,3854.32,monitoring visit
288,49,60,NAM,2022-10-03,2022-10-12,2830.08,monitoring visit
289,29,,GTM,2022-10-16,2022-10-20,3080.37,conference
290,51,45,KEN,2022-10-19,2022-10-22,2318.65,partner meeting
291,26,60,NAM,2022-10-25,2022-11-08,4312.62,monitoring visit
292,51,48,CAF,2022-12-28,2023-01-01,1858.46,partner meeting
293,6,66,MRT,2023-01-06,2023-01-16,3138.06,data collection
294,53,66,MRT,2023-01-28,2023-02-01,1803.19,monitoring visit
295,12,67,GNQ,2023-02-17,2023-02-25,2511.19,workshop
296,54,66,MRT,2023-02-28,2023-03-08,2868.40,workshop
297,6,56,MWI,2023-03-07,2023-03-11,2367.35,monitoring visit
298,13,64,TCD,2023-03-23,2023-04-02,3875.82,workshop
299,48,63,KHM,2023-04-19,2023-04-27,2476.24,partner meeting
300,26,60,NAM,2023-04-22,2023-04-29,2996.08,data collection
301,13,67,GNQ,2023-05-19,2023-06-02,3955.16,data collection
302,53,,UGA,2023-05-30,2023-06-04,3270.37,conference
303,54,70,MLI,2023-06-01,2023-06-12,3031.35,data collection
304,50,71,NIC,2023-06-12,2023-06-26,3570.32,data collection
305,58,59,TUV,2023-06-18,2023-07-01,4455.50,monitoring visit
306,37,61,OMN,2023-06-23,2023-06-29,2150.94,partner meeting
307,52,70,MLI,2023-07-19,2023-07-30,4063.94,partner meeting
308,60,59,TUV,2023-08-03,2023-08-10,2763.32,monitoring visit
309,19,67,GNQ,2023-08-04,2023-08-18,4433.97,partner meeting
310,49,68,NPL,2023-08-08,2023-08-11,2024.37,workshop
311,13,65,BEN,2023-09-04,2023-09-16,3219.67,workshop
312,55,,TCD,2023-09-10,2023-09-12,1880.75,conference
313,52,62,TCD,2023-09-14,2023-09-20,2680.42,workshop
314,49,72,SEN,2023-09-22,2023-09-29,3374.02,monitoring visit
315,54,66,MRT,2023-09-24,2023-09-29,2412.51,data collection
316,54,68,NPL,2023-09-25,2023-10-02,2924.69,data collection
317,13,57,GIN,2023-10-10,2023-10-19,3395.43,monitoring visit
318,50,69,GMB,2023-10-19,2023-10-25,3182.93,data collection
319,11,67,GNQ,2023-10-22,2023-11-04,3712.52,field visit
320,53,70,MLI,2023-10-26,2023-11-05,2899.68,partner meeting
321,26,60,NAM,2023-10-29,2023-11-02,2416.55,field visit
322,50,71,NIC,2023-11-28,2023-12-07,2869.80,partner meeting
323,50,,LAO,2023-11-29,2023-12-02,2062.92,conference
324,55,69,GMB,2023-12-03,2023-12-07,2396.85,partner meeting
325,50,71,NIC,2023-12-07,2023-12-13,2639.26,workshop
326,2,,FRO,2024-01-05,2024-01-07,1879.84,conference
327,56,55,AZE,2024-01-22,2024-01-31,3735.91,data collection
328,52,71,NIC,2024-01-25,2024-02-05,3903.51,workshop
329,49,66,MRT,2024-01-26,2024-01-31,2882.60,field visit
330,27,,PHL,2024-02-04,2024-02-06,2659.59,conference
331,50,69,GMB,2024-02-10,2024-02-23,3689.91,data collection
332,11,67,GNQ,2024-02-18,2024-02-22,1739.34,monitoring visit
333,57,59,TUV,2024-02-29,2024-03-08,3514.09,workshop
334,52,,TJK,2024-03-01,2024-03-06,2456.26,conference
335,53,,ARM,2024-03-14,2024-03-19,3290.72,conference
336,55,72,SEN,2024-03-20,2024-04-03,4117.60,partner meeting
337,51,71,NIC,2024-03-25,2024-04-06,3654.34,field visit
338,2,74,PNG,2024-04-04,2024-04-10,3172.56,field visit
339,48,62,TCD,2024-04-11,2024-04-21,3720.66,workshop
340,16,,VGB,2024-04-12,2024-04-15,1987.57,conference
341,60,78,SOM,2024-05-04,2024-05-15,3597.27,field visit
342,33,61,OMN,2024-05-12,2024-05-24,3120.04,partner meeting
343,52,71,NIC,2024-05-12,2024-05-22,2869.42,partner meeting
344,60,78,SOM,2024-05-18,2024-05-23,2568.24,field visit
345,53,75,SLB,2024-05-26,2024-06-04,2606.64,field visit
346,50,69,GMB,2024-05-30,2024-06-08,2934.18,partner meeting
347,48,62,TCD,2024-06-01,2024-06-12,4089.84,data collection
348,50,74,PNG,2024-06-01,2024-06-04,2648.12,monitoring visit
349,11,67,GNQ,2024-06-04,2024-06-16,3379.87,monitoring visit
350,15,74,PNG,2024-06-04,2024-06-08,2459.97,data collection
351,54,57,GIN,2024-06-07,2024-06-15,3144.70,workshop
352,37,79,DJI,2024-06-10,2024-06-13,2298.21,monitoring visit
353,56,70,MLI,2024-06-12,2024-06-19,2511.00,partner meeting
354,41,79,DJI,2024-06-13,2024-06-19,2683.26,partner meeting
355,48,63,KHM,2024-06-15,2024-06-25,3252.44,partner meeting
356,54,77,AGO,2024-06-23,2024-07-05,3985.09,monitoring visit
357,51,76,GNB,2024-06-24,2024-07-02,2615.90,monitoring visit
358,55,78,SOM,2024-06-24,2024-06-27,2512.23,field visit
359,48,71,NIC,2024-07-05,2024-07-08,2046.64,workshop
360,52,80,GNQ,2024-07-05,2024-07-08,1996.35,monitoring visit
361,49,72,SEN,2024-08-02,2024-08-15,3336.64,data collection
362,4,79,DJI,2024-08-06,2024-08-19,4206.43,monitoring visit
363,59,77,AGO,2024-08-06,2024-08-17,3846.04,field visit
364,4,79,DJI,2024-08-09,2024-08-19,3398.38,workshop
365,53,80,GNQ,2024-08-11,2024-08-24,3787.64,data collection
366,6,69,GMB,2024-08-12,2024-08-22,3613.60,field visit
367,11,67,GNQ,2024-08-22,2024-09-02,3846.74,workshop
368,19,80,GNQ,2024-08-28,2024-09-04,2817.18,data collection
369,50,79,DJI,2024-09-03,2024-09-07,2620.79,monitoring visit
370,56,74,PNG,2024-09-03,2024-09-14,4019.59,partner meeting
371,16,80,GNQ,2024-09-07,2024-09-11,2726.16,data collection
372,32,79,DJI,2024-09-11,2024-09-14,1513.66,partner meeting
373,59,77,AGO,2024-09-14,2024-09-23,2821.40,workshop
374,49,72,SEN,2024-10-09,2024-10-21,3587.24,partner meeting
375,52,68,NPL,2024-10-09,2024-10-20,3732.32,field visit
376,27,60,NAM,2024-10-15,2024-10-18,1772.72,field visit
377,51,75,SLB,2024-10-15,2024-10-20,2975.94,data collection
378,50,75,SLB,2024-10-17,2024-10-28,3467.97,workshop
379,51,73,TCD,2024-10-17,2024-10-24,2840.79,field visit
380,60,78,SOM,2024-10-18,2024-10-23,1904.85,monitoring visit
381,49,71,NIC,2024-10-21,2024-10-28,2525.19,data collection
382,54,76,GNB,2024-10-27,2024-11-09,3362.73,field visit
383,48,63,KHM,2024-10-28,2024-11-05,2555.38,data collection
384,49,72,SEN,2024-10-28,2024-11-07,3130.05,field visit
385,53,75,SLB,2024-11-02,2024-11-15,4177.23,partner meeting
386,51,73,TCD,2024-11-06,2024-11-12,2031.12,partner meeting
387,56,68,NPL,2024-11-09,2024-11-14,2893.36,data collection
388,59,77,AGO,2024-11-19,2024-12-02,3492.91,field visit
389,50,76,GNB,2024-11-21,2024-11-28,2838.39,workshop
390,55,79,DJI,2024-11-26,2024-12-08,3154.97,monitoring visit
391,15,,ETH,2024-12-01,2024-12-04,2574.48,conference
392,55,78,SOM,2024-12-03,2024-12-10,2883.74,workshop
393,14,74,PNG,2024-12-04,2024-12-07,1951.26,partner meeting
394,48,68,NPL,2024-12-04,2024-12-12,2394.72,monitoring visit
395,53,75,SLB,2024-12-04,2024-12-17,3923.38,workshop
396,15,74,PNG,2024-12-05,2024-12-18,3868.64,field visit
397,33,73,TCD,2024-12-12,2024-12-21,2862.80,monitoring visit
398,48,76,GNB,2024-12-12,2024-12-18,2521.20,field visit
399,56,76,GNB,2024-12-13,2024-12-22,3439.79,workshop
400,50,69,GMB,2024-12-14,2024-12-25,3733.62,partner meeting
