disbursement_id,project_id,paid_on,amount_usd,category
56,9,2015-09-29,39917.58,consultancy
57,13,2015-09-29,42044.29,equipment
58,12,2015-10-05,80211.28,training
59,11,2015-10-09,65386.21,grants
60,13,2015-10-12,54408.30,personnel
61,1,2015-10-18,39419.36,personnel
62,8,2015-10-18,43711.20,grants
63,1,2015-10-21,86230.19,personnel
64,11,2015-10-21,31238.44,consultancy
65,1,2015-10-23,41151.50,travel
66,10,2015-10-23,28175.84,grants
67,13,2015-10-27,57837.51,consultancy
68,13,2015-10-27,59405.35,consultancy
69,4,2015-10-30,51859.89,personnel
70,6,2015-10-31,73354.39,grants
71,13,2015-10-31,14131.60,consultancy
72,10,2015-11-02,49173.85,grants
73,11,2015-11-04,36127.88,training
74,13,2015-11-07,63018.10,grants
75,4,2015-11-09,45087.44,personnel
76,12,2015-11-12,42980.61,travel
77,12,2015-11-13,62039.27,training
78,1,2015-11-16,23700.64,consultancy
79,10,2015-11-23,70819.63,travel
80,7,2015-11-24,48668.32,training
81,12,2015-11-25,73227.45,consultancy
82,12,2015-11-29,42256.30,travel
83,4,2015-11-30,52269.77,equipment
84,12,2015-11-30,68815.19,travel
85,12,2015-12-03,48945.17,consultancy
86,12,2015-12-08,45798.11,consultancy
87,12,2015-12-08,33419.28,grants
88,14,2015-12-15,21691.89,grants
89,10,2015-12-16,29100.42,consultancy
90,10,2015-12-17,78763.53,personnel
91,7,2015-12-24,21773.55,personnel
92,8,2015-12-25,40115.04,equipment
93,11,2015-12-31,73904.90,personnel
94,14,2016-01-07,46546.06,travel
95,11,2016-01-13,65615.60,equipment
96,17,2016-01-14,46505.65,personnel
97,8,2016-01-19,43173.75,travel
98,11,2016-01-22,20537.46,consultancy
99,11,2016-01-23,31654.42,grants
100,1,2016-01-25,69325.13,grants
101,8,2016-01-26,64839.36,grants
102,1,2016-02-04,51610.07,personnel
103,15,2016-02-05,44370.85,travel
104,2,2016-02-14,15020.57,grants
105,15,2016-02-17,22312.21,personnel
106,8,2016-02-21,34930.75,grants
107,15,2016-02-24,63075.64,consultancy
108,13,2016-02-27,36951.58,personnel
109,15,2016-02-29,46179.68,personnel
110,17,2016-03-01,43274.69,equipment
111,9,2016-03-02,30172.91,grants
112,15,2016-03-02,55833.17,consultancy
113,14,2016-03-09,65021.83,personnel
114,15,2016-03-15,71217.75,consultancy
115,12,2016-03-17,30127.57,grants
116,9,2016-03-18,76461.49,consultancy
117,15,2016-03-25,67170.83,grants
118,15,2016-03-29,33306.18,travel
119,7,2016-03-31,19363.64,consultancy
120,15,2016-04-01,48302.29,grants
121,7,2016-04-05,35966.22,personnel
122,7,2016-04-06,44421.79,travel
123,10,2016-04-06,89870.56,grants
124,6,2016-04-17,62570.86,personnel
125,11,2016-04-20,41024.49,training
126,15,2016-04-20,22429.03,consultancy
127,15,2016-04-27,72626.68,travel
128,13,2016-05-03,40772.41,personnel
129,15,2016-05-05,18078.22,grants
130,7,2016-05-09,17434.63,personnel
131,15,2016-05-10,40581.82,travel
132,13,2016-05-16,62138.73,training
133,17,2016-05-17,61861.37,personnel
134,12,2016-05-18,77236.78,grants
135,7,2016-05-19,35197.54,equipment
136,13,2016-05-22,13518.22,personnel
137,15,2016-05-22,20426.60,grants
138,8,2016-05-31,14288.06,personnel
139,13,2016-06-05,53103.70,personnel
140,7,2016-06-09,64258.80,equipment
141,8,2016-06-11,74146.47,equipment
142,20,2016-06-14,39773.38,travel
143,11,2016-06-17,17432.28,personnel
144,15,2016-06-18,59045.96,personnel
145,7,2016-06-22,14323.39,consultancy
146,11,2016-06-23,73873.68,grants
147,7,2016-06-25,32536.05,grants
148,10,2016-06-25,52253.71,travel
149,16,2016-06-25,28359.45,grants
150,15,2016-06-27,28513.02,training
151,1,2016-06-29,42404.64,grants
152,14,2016-06-30,62942.36,grants
153,14,2016-07-01,38511.32,travel
154,13,2016-07-02,32821.80,travel
155,12,2016-07-03,22470.63,personnel
156,14,2016-07-05,55868.47,grants
157,22,2016-07-05,61896.63,travel
158,12,2016-07-07,21324.56,personnel
159,12,2016-07-09,30434.23,consultancy
160,13,2016-07-09,40185.97,consultancy
161,15,2016-07-11,43576.70,personnel
162,15,2016-07-11,15292.70,training
163,16,2016-07-12,34759.19,personnel
164,7,2016-07-14,19278.50,equipment
165,3,2016-07-15,65426.68,personnel
166,11,2016-07-25,24045.88,grants
167,11,2016-07-27,44704.77,training
168,7,2016-07-28,25867.71,personnel
169,7,2016-07-31,69228.70,training
170,14,2016-08-01,36584.17,travel
171,15,2016-08-04,51055.75,personnel
172,1,2016-08-06,26330.00,travel
173,13,2016-08-11,59516.77,consultancy
174,15,2016-08-11,21679.94,grants
175,22,2016-08-13,18751.51,grants
176,14,2016-08-14,68190.39,personnel
177,15,2016-08-16,50521.53,equipment
178,10,2016-08-18,76369.71,consultancy
179,13,2016-08-18,63669.51,personnel
180,12,2016-08-21,38498.14,personnel
181,15,2016-08-21,18750.81,personnel
182,13,2016-08-25,50500.89,personnel
183,12,2016-08-27,56144.27,personnel
184,14,2016-08-27,46276.45,personnel
185,13,2016-08-29,13583.38,consultancy
186,13,2016-08-31,21693.71,personnel
187,7,2016-09-04,37968.03,personnel
188,23,2016-09-06,18228.97,equipment
189,17,2016-09-08,15458.93,travel
190,12,2016-09-09,41985.79,consultancy
191,20,2016-09-13,45230.46,consultancy
192,7,2016-09-15,67149.05,equipment
193,15,2016-09-18,31341.12,personnel
194,14,2016-09-21,57637.91,personnel
195,13,2016-09-26,63943.46,consultancy
196,10,2016-09-27,44547.19,travel
197,11,2016-09-28,16369.46,personnel
198,7,2016-10-10,34998.27,personnel
199,22,2016-10-11,46793.84,training
200,14,2016-10-12,30268.33,training
201,7,2016-10-14,57043.50,grants
202,12,2016-10-15,59507.54,training
203,18,2016-10-17,83100.19,consultancy
204,7,2016-10-18,49021.29,personnel
205,3,2016-10-23,71193.06,training
206,22,2016-10-24,26095.20,travel
207,15,2016-10-26,22253.62,grants
208,23,2016-10-30,44372.79,personnel
209,24,2016-11-01,73719.52,consultancy
210,17,2016-11-05,68618.19,equipment
211,20,2016-11-05,19411.17,consultancy
212,12,2016-11-07,20513.49,consultancy
213,5,2016-11-12,55593.70,grants
214,12,2016-11-12,40329.34,personnel
215,19,2016-11-12,18952.21,travel
216,12,2016-11-15,71682.76,grants
217,15,2016-11-15,15959.32,consultancy
218,15,2016-11-22,30506.62,equipment
219,15,2016-11-24,25863.45,grants
220,21,2016-11-24,17146.94,travel
221,16,2016-11-28,30742.35,consultancy
222,10,2016-12-02,53171.65,grants
223,25,2016-12-02,62838.88,consultancy
224,15,2016-12-06,52743.05,training
225,10,2016-12-07,39776.27,consultancy
226,18,2016-12-07,47362.05,personnel
227,16,2016-12-11,65855.87,consultancy
228,1,2016-12-12,63465.11,training
229,22,2016-12-12,41428.89,grants
230,1,2016-12-21,74330.42,personnel
231,14,2016-12-25,35139.52,travel
232,2,2016-12-26,18664.47,consultancy
233,26,2016-12-26,41708.12,personnel
234,5,2016-12-27,96760.17,personnel
235,2,2016-12-30,22284.62,personnel
236,13,2016-12-30,59144.84,personnel
237,15,2016-12-30,47565.72,grants
238,24,2016-12-31,80666.03,grants
239,13,2017-01-03,19275.26,personnel
240,3,2017-01-06,21525.21,grants
241,25,2017-01-06,29033.38,grants
242,26,2017-01-08,58728.91,equipment
243,26,2017-01-08,58728.91,equipment
244,20,2017-01-11,45451.61,training
245,25,2017-01-21,21156.09,training
246,16,2017-01-24,60784.79,consultancy
247,24,2017-01-24,23023.76,equipment
248,12,2017-02-02,75068.99,grants
249,25,2017-02-02,13193.19,training
250,13,2017-02-03,26274.81,personnel
251,16,2017-02-04,58909.92,grants
252,9,2017-02-05,22374.78,equipment
253,12,2017-02-05,64237.14,training
254,13,2017-02-07,48877.09,personnel
255,13,2017-02-07,13695.87,grants
256,14,2017-02-08,30681.75,grants
257,10,2017-02-15,81372.36,equipment
258,16,2017-02-15,48141.70,grants
259,10,2017-02-21,43804.36,equipment
260,14,2017-02-23,68514.36,personnel
261,26,2017-02-27,35197.31,equipment
262,13,2017-03-01,31851.16,equipment
263,14,2017-03-01,49194.52,consultancy
264,10,2017-03-03,26987.30,consultancy
265,9,2017-03-04,51714.27,personnel
266,14,2017-03-06,27900.48,grants
267,24,2017-03-06,24939.54,training
268,13,2017-03-10,22566.53,personnel
269,14,2017-03-10,24895.09,grants
270,26,2017-03-15,50197.03,grants
271,14,2017-03-16,49579.03,equipment
272,24,2017-03-21,26109.65,travel
273,13,2017-03-28,42806.79,equipment
274,11,2017-04-01,24422.86,personnel
275,16,2017-04-01,32996.49,training
276,12,2017-04-02,17131.70,consultancy
277,25,2017-04-03,53797.17,consultancy
278,26,2017-04-11,29201.87,grants
279,14,2017-04-15,23574.45,grants
280,11,2017-04-16,74287.91,grants
281,16,2017-04-16,27650.19,personnel
282,12,2017-04-19,36506.02,personnel
283,28,2017-04-23,30704.29,grants
284,16,2017-04-24,64449.97,consultancy
285,1,2017-04-26,77020.38,grants
286,12,2017-04-27,51293.10,training
287,11,2017-04-29,53703.05,equipment
288,28,2017-05-02,72697.74,personnel
289,10,2017-05-03,65914.07,consultancy
290,18,2017-05-04,41761.97,grants
291,23,2017-05-04,40485.20,equipment
292,28,2017-05-16,21723.72,consultancy
293,28,2017-05-24,43939.95,grants
294,20,2017-05-26,16377.22,consultancy
295,24,2017-05-26,47005.53,personnel
296,14,2017-05-31,55022.59,travel
297,24,2017-06-04,36015.03,personnel
298,22,2017-06-06,74590.51,training
299,14,2017-06-13,36753.55,grants
300,16,2017-06-14,14881.77,equipment
301,25,2017-06-14,65914.70,consultancy
302,14,2017-06-17,47178.57,personnel
303,2,2017-06-25,71673.12,travel
304,22,2017-06-25,25841.74,equipment
305,22,2017-06-25,39793.13,personnel
306,26,2017-06-26,31299.70,personnel
307,28,2017-07-04,62130.45,personnel
308,24,2017-07-05,70382.72,consultancy
309,12,2017-07-11,76416.70,training
310,3,2017-07-12,17579.49,training
311,10,2017-07-16,68974.29,personnel
312,22,2017-07-20,56577.48,equipment
313,26,2017-07-20,26096.89,grants
314,14,2017-08-04,42512.14,personnel
315,28,2017-08-04,64578.47,grants
316,28,2017-08-06,71010.70,personnel
317,24,2017-08-08,53373.62,training
318,26,2017-08-16,45302.99,grants
319,28,2017-08-19,73039.96,personnel
320,2,2017-08-23,70717.46,equipment
321,2,2017-08-25,59133.03,grants
322,20,2017-08-26,26234.00,equipment
323,24,2017-08-26,49423.32,personnel
324,14,2017-08-27,15088.23,grants
325,29,2017-08-29,80472.85,personnel
326,26,2017-08-30,55852.23,equipment
327,12,2017-08-31,41853.49,travel
328,24,2017-08-31,19423.36,grants
329,25,2017-09-05,12852.17,personnel
330,5,2017-09-10,57166.20,training
331,12,2017-09-10,66641.17,travel
332,23,2017-09-15,86939.22,travel
333,24,2017-09-19,93742.65,personnel
334,24,2017-09-20,81865.81,travel
335,8,2017-09-25,54537.50,personnel
336,28,2017-09-25,49201.92,consultancy
337,20,2017-09-26,37213.55,equipment
338,29,2017-09-27,21112.93,personnel
339,22,2017-10-03,48912.49,travel
340,23,2017-10-09,52033.69,personnel
341,25,2017-10-10,46487.98,grants
342,22,2017-10-13,55422.32,training
343,26,2017-10-15,42822.63,personnel
344,23,2017-10-17,67326.08,personnel
345,16,2017-10-18,21848.69,equipment
346,26,2017-10-18,21830.61,equipment
347,24,2017-10-21,19440.49,personnel
348,14,2017-10-29,14701.30,travel
349,12,2017-10-31,25745.07,travel
350,32,2017-11-02,56662.24,personnel
351,16,2017-11-05,65284.52,consultancy
352,25,2017-11-06,65805.99,grants
353,28,2017-11-11,69529.79,grants
354,24,2017-11-12,18841.70,equipment
355,16,2017-11-15,67909.05,consultancy
356,24,2017-11-15,41146.94,personnel
357,24,2017-11-17,40838.81,grants
358,27,2017-11-18,55850.66,personnel
359,31,2017-11-19,55713.73,equipment
360,31,2017-11-22,34230.23,travel
361,28,2017-11-23,48655.73,personnel
362,31,2017-11-23,25299.47,personnel
363,20,2017-11-26,36021.48,personnel
364,14,2017-11-27,39779.40,personnel
365,25,2017-12-02,53493.80,personnel
366,14,2017-12-03,67180.67,personnel
367,31,2017-12-11,47001.73,consultancy
368,24,2017-12-12,89873.42,equipment
369,24,2017-12-12,57821.77,training
370,32,2017-12-13,16940.87,personnel
371,6,2017-12-20,43992.73,grants
372,25,2017-12-23,45690.06,personnel
373,24,2017-12-25,97477.99,equipment
374,28,2017-12-28,56681.55,travel
375,24,2018-01-01,17762.24,personnel
376,5,2018-01-02,35115.59,personnel
377,24,2018-01-02,47835.55,consultancy
378,28,2018-01-09,43017.49,travel
379,22,2018-01-14,72749.14,grants
380,26,2018-01-16,57214.93,training
381,33,2018-01-19,57765.92,equipment
382,22,2018-01-24,78302.62,equipment
383,28,2018-01-27,26785.08,training
384,22,2018-01-29,72842.32,grants
385,24,2018-02-04,22364.83,personnel
386,28,2018-02-05,47457.65,consultancy
387,26,2018-02-10,71518.47,consultancy
388,28,2018-02-10,25689.25,consultancy
389,25,2018-02-12,22422.63,travel
390,9,2018-02-17,16690.46,travel
391,26,2018-02-17,84184.49,travel
392,33,2018-02-18,17686.58,personnel
393,10,2018-02-22,45119.67,consultancy
394,6,2018-02-25,25681.65,equipment
395,33,2018-02-25,50781.06,personnel
396,31,2018-02-28,49674.13,training
397,10,2018-03-01,24275.49,personnel
398,20,2018-03-02,31233.82,grants
399,10,2018-03-06,20420.75,personnel
400,32,2018-03-08,46076.20,grants
401,28,2018-03-11,34356.79,training
402,32,2018-03-12,43837.14,consultancy
403,24,2018-03-13,53675.26,training
404,24,2018-03-14,25488.18,training
405,28,2018-03-17,40172.96,equipment
406,25,2018-03-19,34602.16,consultancy
407,26,2018-03-22,34657.45,travel
408,24,2018-03-26,50644.10,personnel
409,9,2018-03-27,16614.82,grants
410,10,2018-03-27,57215.81,travel
411,9,2018-04-01,22036.02,equipment
412,33,2018-04-02,45076.85,personnel
413,19,2018-04-03,20532.81,personnel
414,30,2018-04-03,38323.31,personnel
415,33,2018-04-03,44911.58,equipment
416,25,2018-04-05,61627.23,consultancy
417,22,2018-04-08,63976.48,training
418,24,2018-04-10,76172.93,grants
419,14,2018-04-11,64152.04,travel
420,31,2018-04-11,27702.10,consultancy
421,20,2018-04-17,45855.09,travel
422,33,2018-04-19,59643.30,training
423,31,2018-04-20,24810.67,equipment
424,31,2018-04-24,55025.01,travel
425,22,2018-04-26,65636.43,consultancy
426,26,2018-04-26,44258.04,equipment
427,28,2018-04-26,21999.87,grants
428,32,2018-04-26,43214.19,personnel
429,9,2018-04-27,42650.64,consultancy
430,14,2018-04-27,51036.77,consultancy
431,29,2018-04-29,33773.60,personnel
432,24,2018-05-04,81684.02,equipment
433,33,2018-05-12,49329.92,personnel
434,24,2018-05-14,52459.89,travel
435,16,2018-05-16,53888.38,personnel
436,29,2018-05-18,48767.83,grants
437,20,2018-05-20,24558.20,grants
438,22,2018-05-30,78774.19,training
439,28,2018-05-31,46606.71,training
440,33,2018-05-31,60690.14,consultancy
441,10,2018-06-03,24411.50,grants
442,32,2018-06-07,27902.80,consultancy
443,35,2018-06-07,15184.77,personnel
444,26,2018-06-08,89905.49,training
445,33,2018-06-08,30030.52,personnel
446,35,2018-06-13,28255.21,training
447,36,2018-06-13,69184.93,travel
448,35,2018-06-15,65396.77,consultancy
449,18,2018-06-16,24314.81,training
450,33,2018-06-16,57135.47,consultancy
451,32,2018-06-17,19698.22,equipment
452,22,2018-06-19,32134.15,personnel
453,28,2018-06-19,70692.27,equipment
454,30,2018-06-19,52871.30,equipment
455,32,2018-06-19,32433.06,travel
456,6,2018-06-20,50005.31,consultancy
457,10,2018-06-20,30349.75,personnel
458,35,2018-06-22,18429.80,grants
459,35,2018-06-26,73411.65,grants
460,28,2018-06-27,69105.58,personnel
461,28,2018-06-30,69422.81,training
462,25,2018-07-01,60068.98,personnel
463,29,2018-07-04,34962.69,training
464,20,2018-07-10,59047.85,personnel
465,35,2018-07-10,68335.21,equipment
466,6,2018-07-11,43496.89,equipment
467,31,2018-07-13,11938.88,consultancy
468,35,2018-07-13,66973.48,consultancy
469,25,2018-07-14,55751.01,equipment
470,22,2018-07-18,53163.06,consultancy
471,31,2018-07-18,32265.46,consultancy
472,31,2018-07-18,17780.21,consultancy
473,16,2018-07-23,29964.79,personnel
474,31,2018-07-23,39401.83,equipment
475,28,2018-07-26,60756.55,equipment
476,24,2018-07-29,23647.32,personnel
477,33,2018-08-01,31571.49,consultancy
478,20,2018-08-02,46358.12,training
479,16,2018-08-08,60646.12,personnel
480,30,2018-08-10,59896.22,personnel
481,24,2018-08-13,17653.02,travel
482,28,2018-08-13,47468.24,grants
483,33,2018-08-16,57311.99,equipment
484,22,2018-08-17,15631.46,personnel
485,34,2018-08-17,54720.82,personnel
486,34,2018-08-17,54720.82,personnel
487,28,2018-08-18,38477.97,training
488,35,2018-08-18,57095.76,personnel
489,35,2018-08-18,56397.48,personnel
490,30,2018-08-20,26541.47,personnel
491,28,2018-08-25,67599.97,equipment
492,25,2018-08-28,48331.76,equipment
493,22,2018-08-29,30279.62,equipment
494,31,2018-08-29,32292.51,personnel
495,25,2018-09-07,56905.48,personnel
496,20,2018-09-12,49090.55,travel
497,28,2018-09-13,62111.05,personnel
498,35,2018-09-13,73052.05,grants
499,29,2018-09-22,59575.38,personnel
500,35,2018-10-01,60034.99,grants
501,30,2018-10-04,61866.96,personnel
502,30,2018-10-06,53288.64,consultancy
503,33,2018-10-08,11454.05,grants
504,32,2018-10-14,61070.62,personnel
505,31,2018-10-19,19930.29,equipment
506,37,2018-10-19,62073.31,grants
507,36,2018-10-21,30430.72,equipment
508,38,2018-10-26,43145.07,consultancy
509,22,2018-10-27,37134.79,consultancy
510,35,2018-10-27,16871.86,personnel
511,30,2018-10-28,25701.23,grants
512,16,2018-10-29,23707.84,personnel
513,24,2018-11-03,80214.81,grants
514,31,2018-11-05,27269.76,travel
515,38,2018-11-09,13872.07,consultancy
516,35,2018-11-10,32987.03,personnel
517,35,2018-11-10,34456.38,grants
518,19,2018-11-11,25254.52,grants
519,16,2018-11-12,65262.18,travel
520,32,2018-11-15,58163.26,grants
521,38,2018-11-16,56257.59,grants
522,34,2018-11-17,18427.53,training
523,32,2018-11-18,34375.79,travel
524,35,2018-11-18,34086.18,personnel
525,37,2018-11-18,70811.84,training
526,37,2018-11-20,22433.86,equipment
527,16,2018-11-21,55814.84,grants
528,31,2018-11-21,52708.64,travel
529,31,2018-11-27,40358.40,equipment
530,35,2018-11-30,22223.45,grants
531,35,2018-11-30,39006.12,grants
532,41,2018-12-01,49496.03,training
533,33,2018-12-03,27675.58,grants
534,37,2018-12-03,48007.11,consultancy
535,35,2018-12-05,62271.24,personnel
536,36,2018-12-06,18614.81,personnel
537,30,2018-12-07,57721.13,personnel
538,35,2018-12-09,27103.82,personnel
539,35,2018-12-09,27103.82,personnel
540,37,2018-12-09,62621.23,personnel
541,35,2018-12-10,23319.49,travel
542,20,2018-12-11,36591.31,consultancy
543,19,2018-12-13,31669.59,equipment
544,31,2018-12-15,61355.94,consultancy
545,39,2018-12-17,21609.69,consultancy
546,35,2018-12-21,32058.29,personnel
547,35,2018-12-23,45962.86,travel
548,31,2018-12-24,63067.97,grants
549,29,2018-12-25,16119.31,grants
550,37,2018-12-31,65078.25,travel
551,38,2018-12-31,22167.03,personnel
552,25,2019-01-02,64329.80,consultancy
553,35,2019-01-03,22974.27,travel
554,40,2019-01-03,39545.21,travel
555,37,2019-01-04,78903.11,equipment
556,22,2019-01-06,77651.29,personnel
557,35,2019-01-08,68226.30,consultancy
558,24,2019-01-09,48281.72,equipment
559,35,2019-01-09,54817.25,personnel
560,38,2019-01-09,57880.69,grants
561,40,2019-01-09,55049.29,grants
562,34,2019-01-15,49710.64,personnel
563,20,2019-01-17,44928.66,personnel
564,40,2019-01-19,27412.61,equipment
565,40,2019-01-19,79692.24,training
566,40,2019-01-20,36289.07,personnel
567,31,2019-01-23,18565.15,consultancy
568,31,2019-01-25,44549.09,personnel
569,40,2019-01-25,49270.04,grants
570,38,2019-01-28,66818.81,grants
571,37,2019-02-05,46151.10,consultancy
572,36,2019-02-07,49794.34,travel
573,22,2019-02-13,29502.98,travel
574,42,2019-02-15,41171.73,consultancy
575,41,2019-02-16,48894.63,travel
576,35,2019-02-18,28139.65,personnel
577,25,2019-02-23,41386.09,equipment
578,40,2019-02-24,47140.21,consultancy
579,24,2019-03-02,24143.77,grants
580,35,2019-03-05,34013.42,personnel
581,37,2019-03-08,19387.91,personnel
582,41,2019-03-11,24979.56,consultancy
583,40,2019-03-12,16494.68,grants
584,37,2019-03-14,55810.02,personnel
585,38,2019-03-14,30111.12,personnel
586,39,2019-03-15,58482.96,grants
587,24,2019-03-17,40498.13,consultancy
588,37,2019-03-17,21873.08,travel
589,38,2019-03-17,64904.97,grants
590,21,2019-03-18,42869.06,personnel
591,21,2019-03-18,42869.06,personnel
592,36,2019-03-19,61229.09,travel
593,20,2019-03-27,58453.40,travel
594,38,2019-03-28,32612.55,personnel
595,24,2019-03-29,19416.68,consultancy
596,37,2019-03-31,58740.77,travel
597,40,2019-03-31,68905.42,training
598,20,2019-04-02,27474.84,personnel
599,33,2019-04-07,51486.55,training
600,38,2019-04-10,29760.76,travel
601,29,2019-04-11,18825.68,grants
602,35,2019-04-13,69864.86,travel
603,37,2019-04-14,74352.56,personnel
604,42,2019-04-14,28858.02,training
605,35,2019-04-17,48326.05,equipment
606,35,2019-04-26,71430.51,travel
607,20,2019-04-27,51606.66,consultancy
608,39,2019-04-28,49622.20,personnel
609,35,2019-05-01,32491.38,consultancy
610,39,2019-05-04,63471.25,grants
611,42,2019-05-04,61424.65,travel
612,44,2019-05-07,66875.98,travel
613,35,2019-05-08,64716.19,personnel
614,40,2019-05-08,64487.84,consultancy
615,27,2019-05-09,24908.36,consultancy
616,22,2019-05-18,69606.58,consultancy
617,37,2019-05-19,22646.95,personnel
618,41,2019-05-22,21438.21,consultancy
619,41,2019-05-22,21438.21,consultancy
620,47,2019-05-24,19137.01,consultancy
621,22,2019-05-26,43344.61,grants
622,41,2019-05-26,38643.73,grants
623,35,2019-05-27,64692.39,training
624,37,2019-05-27,49321.10,equipment
625,45,2019-05-30,44809.94,equipment
626,33,2019-06-02,61372.58,grants
627,40,2019-06-02,21192.66,equipment
628,39,2019-06-05,16498.49,training
629,33,2019-06-06,39341.51,grants
630,40,2019-06-06,15767.54,equipment
631,37,2019-06-08,45947.66,training
632,37,2019-06-17,73692.30,consultancy
633,47,2019-06-18,24168.05,personnel
634,34,2019-06-19,71069.84,personnel
635,33,2019-06-21,26776.20,equipment
636,33,2019-06-21,26776.20,equipment
637,21,2019-06-24,42444.85,grants
638,44,2019-06-24,23361.95,grants
639,44,2019-06-24,23361.95,grants
640,45,2019-07-06,21671.86,training
641,27,2019-07-08,55970.30,grants
642,46,2019-07-08,33666.75,equipment
643,41,2019-07-09,82746.86,personnel
644,37,2019-07-10,14570.02,training
645,45,2019-07-14,25734.98,personnel
646,25,2019-07-16,30782.54,training
647,25,2019-07-16,30782.54,training
648,36,2019-07-17,19202.80,equipment
649,45,2019-07-17,13761.49,travel
650,25,2019-07-19,44976.49,training
651,44,2019-07-19,49761.92,equipment
652,43,2019-07-20,70844.46,personnel
653,22,2019-07-25,56698.43,equipment
654,46,2019-07-25,42375.72,personnel
655,29,2019-07-26,21523.78,equipment
656,22,2019-07-28,26265.82,grants
657,40,2019-07-30,25153.97,consultancy
658,27,2019-07-31,18229.85,consultancy
659,38,2019-07-31,64143.24,grants
660,40,2019-07-31,17694.76,personnel
661,47,2019-08-02,67108.69,consultancy
662,40,2019-08-03,37924.08,equipment
663,47,2019-08-05,77106.03,grants
664,38,2019-08-06,28804.21,personnel
665,33,2019-08-15,40407.07,grants
666,39,2019-08-19,24235.73,personnel
667,43,2019-08-19,56425.04,consultancy
668,41,2019-08-20,97311.41,equipment
669,45,2019-08-20,44222.76,equipment
670,41,2019-08-23,41377.47,travel
671,33,2019-08-24,35965.88,personnel
672,37,2019-08-25,65487.82,grants
673,40,2019-08-25,68508.44,equipment
674,41,2019-08-25,50143.75,personnel
675,40,2019-09-01,63423.87,travel
676,40,2019-09-05,49425.91,travel
677,41,2019-09-05,61440.46,consultancy
678,41,2019-09-06,74574.63,personnel
679,41,2019-09-06,79931.87,grants
680,37,2019-09-07,27568.10,equipment
681,38,2019-09-09,24570.49,personnel
682,45,2019-09-12,46624.97,training
683,41,2019-09-15,53897.82,equipment
684,38,2019-09-21,60724.19,personnel
685,20,2019-10-02,14021.81,personnel
686,37,2019-10-05,63698.18,training
687,46,2019-10-13,51728.04,training
688,22,2019-10-15,52765.50,training
689,38,2019-10-15,33679.29,personnel
690,25,2019-10-19,41080.36,personnel
691,29,2019-10-24,72400.94,personnel
692,43,2019-10-24,36742.07,personnel
693,38,2019-10-28,38529.66,grants
694,38,2019-10-30,59028.27,travel
695,22,2019-11-01,62457.63,grants
696,38,2019-11-01,12501.72,personnel
697,33,2019-11-03,39446.02,grants
698,37,2019-11-07,45466.58,consultancy
699,39,2019-11-08,22002.71,personnel
700,39,2019-11-09,55197.63,consultancy
701,25,2019-11-11,40484.50,personnel
702,39,2019-11-12,26941.84,consultancy
703,41,2019-11-14,34067.23,personnel
704,22,2019-11-15,20426.94,personnel
705,25,2019-11-18,61728.44,personnel
706,42,2019-11-21,43931.02,consultancy
707,25,2019-11-30,63896.44,personnel
708,43,2019-12-01,67384.34,personnel
709,41,2019-12-03,19752.81,travel
