publication_id,title,pub_type,published_on,project_id,downloads
46,CO2 emissions per person in Honduras,report,2019-02-03,34,376
47,"Electricity access in Yemen, Rep.: trends since 2000",article,2019-02-04,22,576
48,Emissions and income: what the data shows,policy brief,2019-03-30,,912
49,Meridiano Observatory annual report 2018,report,2019-04-07,,228
50,Health facility data in Ghana,policy brief,2019-04-21,28,2758
51,Digital access and public services in Peru,working paper,2019-04-25,32,1446
52,Off-grid solar and rural households in Equatorial Guinea,article,2019-06-26,10,38
53,CO2 emissions per person in Marshall Islands,working paper,2019-07-30,30,633
54,Off-grid solar and rural households in Uganda,policy brief,2019-08-05,36,238
55,Population estimates: how they are made,policy brief,2019-09-02,,443
56,Life expectancy since 2000: a global view,working paper,2019-09-05,,530
57,Electricity access in Uganda: trends since 2000,report,2019-09-10,36,213
58,Emissions inventory notes: Samoa,report,2019-10-03,27,353
59,Health facility data in Zambia,working paper,2019-11-05,38,1880
60,Child health survey results: Mali,report,2020-02-15,46,243
61,Child health survey results: Haiti,working paper,2020-03-03,24,737
62,"Social protection coverage in Micronesia, Fed. Sts.",article,2020-03-27,44,238
63,CO2 emissions per person in United Arab Emirates,report,2020-03-29,25,221
64,Meridiano Observatory annual report 2019,report,2020-04-05,,1057
65,Measuring income inequality in Kenya,article,2020-04-06,45,140
66,Internet adoption by income group,working paper,2020-04-08,,1203
67,Renewable energy use in Honduras: where the data stands,working paper,2020-05-02,34,1276
68,Air quality monitoring in Honduras,policy brief,2020-05-06,34,972
69,Electricity access in Rwanda: trends since 2000,report,2020-05-14,33,1931
70,Digital divides between income groups,working paper,2020-05-15,,103
71,Energy access survey results: Rwanda,report,2020-06-10,33,1716
72,Air quality monitoring in Samoa,data note,2020-06-29,27,250
73,Country classifications and why they change,data note,2020-07-30,,502
74,Measuring income inequality in St. Lucia,data note,2020-09-03,40,262
75,The long road to universal electricity,article,2020-09-05,,495
76,Emissions inventory notes: Honduras,policy brief,2020-09-06,34,622
77,Mini-grids in Niger: a monitoring note,data note,2020-09-18,47,290
78,"Household income survey results: Micronesia, Fed. Sts.",working paper,2021-01-14,44,629
79,Health spending and outcomes in Central African Republic,report,2021-01-18,48,491
80,Measuring income inequality in Djibouti,article,2021-02-11,49,308
81,Data quality notes for researchers,policy brief,2021-03-16,,520
82,Missing values in development data,policy brief,2021-04-12,,322
83,Meridiano Observatory annual report 2020,policy brief,2021-04-24,,316
84,Health spending and outcomes in Mali,working paper,2021-05-02,46,173
85,"Child health survey results: Somalia, Fed. Rep.",policy brief,2021-06-08,41,866
86,Comparing regions fairly,report,2021-06-14,,119
87,"What the Gini index says about Micronesia, Fed. Sts.",working paper,2021-07-21,44,1202
88,"Health facility data in Somalia, Fed. Rep.",report,2021-09-05,41,255
89,Small states in global statistics,working paper,2021-10-27,,292
90,Health spending as a share of GDP,report,2021-11-07,,290
91,Clean energy and household access,report,2021-11-13,,277
92,Air quality monitoring in Nepal,working paper,2021-11-15,52,626
93,Energy access survey results: Eswatini,working paper,2022-01-20,53,83
94,Urban growth since 2000,working paper,2022-03-10,,107
95,Tracking progress on child survival,report,2022-03-22,,275
96,Digital skills survey results: Guinea,report,2022-04-03,57,1199
97,Digital access and public services in Malawi,policy brief,2022-04-14,56,101
98,GDP per capita: what current dollars hide,data note,2022-04-18,,219
99,Meridiano Observatory annual report 2021,report,2022-04-22,,161
100,Renewable energy by region,working paper,2022-05-03,,193
101,Health outcomes by region,working paper,2022-05-27,,151
102,Measuring access to electricity,report,2022-06-25,,335
103,CO2 emissions per person in Nepal,article,2022-07-26,52,735
104,Mini-grids in Eswatini: a monitoring note,report,2022-08-10,58,278
105,Renewable energy use in Nepal: where the data stands,policy brief,2022-08-15,52,772
106,Health facility data in Ethiopia,policy brief,2022-10-01,50,265
107,Social protection coverage in Kenya,report,2022-11-19,45,238
108,Under-five mortality in Ethiopia: a data review,report,2023-01-12,50,366
109,CO2 emissions per person in Oman,policy brief,2023-01-28,61,723
110,Renewables in final energy consumption,policy brief,2023-02-04,,89
111,Meridiano Observatory annual report 2022,policy brief,2023-04-04,,73
112,Household income survey results: Djibouti,policy brief,2023-05-10,49,512
113,Connectivity mapping results: Guinea,policy brief,2023-06-26,57,202
114,Digital access and public services in Guinea,report,2023-07-12,57,199
115,Reading time series of country indicators,report,2023-09-14,,245
116,How population growth shapes per-capita figures,working paper,2023-09-17,,129
117,"Mini-grids in Gambia, The: a monitoring note",article,2023-10-14,69,131
118,Inequality data: coverage and limits,report,2023-10-16,,55
119,Health facility data in Equatorial Guinea,policy brief,2023-10-23,67,221
120,Household income survey results: Namibia,report,2023-11-04,60,58
121,Child health survey results: Benin,article,2023-11-10,65,67
122,Child health survey results: Central African Republic,report,2023-11-22,48,120
123,Digital access and public services in Nepal,policy brief,2023-12-03,68,184
124,Digital access and public services in Tuvalu,working paper,2024-01-17,59,179
125,Under-five mortality in Benin: a data review,policy brief,2024-03-15,65,75
126,Meridiano Observatory annual report 2023,article,2024-04-04,,782
127,Connectivity mapping results: Tuvalu,article,2024-05-15,59,27
128,Renewable energy use in Oman: where the data stands,policy brief,2024-05-16,61,71
129,Electricity access in Chad: trends since 2000,article,2024-05-19,73,25
130,When data stops: gaps in renewable energy statistics,report,2024-06-19,,173
131,Health facility data in Benin,report,2024-06-25,65,258
132,Off-grid solar and rural households in Cambodia,policy brief,2024-07-04,63,145
133,Energy transition indicators explained,report,2024-07-22,,58
134,Under-five mortality in Papua New Guinea: a data review,article,2024-07-31,74,56
135,Emissions inventory notes: Oman,policy brief,2024-08-11,61,212
136,Under-five mortality in Mali: a data review,report,2024-08-14,70,11
137,Health facility data in Papua New Guinea,policy brief,2024-08-25,74,43
138,Child health survey results: Papua New Guinea,report,2024-09-09,74,538
139,Energy access survey results: Chad,working paper,2024-09-16,73,41
140,"Off-grid solar and rural households in Gambia, The",report,2024-10-05,69,33
141,Mini-grids in Chad: a monitoring note,report,2024-11-06,73,33
142,Off-grid solar and rural households in Chad,policy brief,2024-11-08,73,50
143,Off-grid solar and rural households in Djibouti,report,2024-12-06,79,210
144,Under-five mortality in Equatorial Guinea: a data review,policy brief,2024-12-12,80,517
145,Mini-grids in Djibouti: a monitoring note,working paper,2024-12-15,79,8
146,Health spending and outcomes in Papua New Guinea,policy brief,2024-12-21,74,14
147,Health spending and outcomes in Equatorial Guinea,article,2024-12-25,80,39
148,Energy access survey results: Djibouti,article,2024-12-27,79,132
149,Digital access and public services in Angola,working paper,2024-12-29,77,283
150,Electricity access in Djibouti: trends since 2000,working paper,2024-12-29,79,81
